id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.00000782,0.00003545,0.00000025,0.19019464223046095,-0.31392547040265245,0.000001128597767,0.000000158582554,Bet,16,Cet,1,3413,,116.09138701261821,,,
92564,92855,175191,7121,,34Sig Sgr,Nunki,18.92109,-26.296722,69.8324,13.87,-52.65,-11.0,2.05,-2.17,B2.5V,-0.134,14.950858,-60.794062,-30.937099,0.00000027,0.00001858,-0.000011,4.953529829382003,-0.4589643844760175,0.0000000672436575,-0.000000255254402,Sig,34,Sgr,1,92564,,642.6877173170194,,,
68714,68933,123139,5288,Gl 539,5The Cen,Menkent,14.111395,-36.369954,18.0343,-519.29,-517.87,1.3,2.06,0.78,K0IIIb,1.011,-12.358808,-7.624204,-10.694288,-0.0000019,0.00005217,-0.00003724,3.6943545480965847,-0.6347754526653112,-0.0000025175889618,-0.000002510704607,The,5,Cen,1,68714,,42.46195639463128,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.03659716270801555,0.5077238184659449,0.0000006577952018,-0.000000790003892,Alp,21,And,1,676,,114.49855346901883,Alp,2.083,2.063
5436,5447,6860,337,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,0.00000223,0.00005471,-0.00002725,0.30426179273798976,0.6216960120690613,0.0000008512843417,-0.000000544106393,Bet,43,And,1,5436,,474.2419852602448,,,
27298,27366,38771,2004,,53Kap Ori,Saiph,5.795941,-9.669605,198.4127,1.55,-1.2,21.0,2.07,-4.418,B0.5Iavar,-0.168,10.444137,195.314937,-33.326707,-0.00000037,0.00002103,-0.00000475,1.5173738927528553,-0.168766439905435,0.000000007514612,-0.000000005817764,Kap,53,Ori,1,27298,,5095.654806081146,,,
72380,72607,131873,5563,,7Bet UMi,Kochab,14.845105,74.155505,40.1445,-32.29,11.91,17.0,2.07,-0.948,K4IIIvar,1.465,-8.058164,-7.429707,38.619407,-0.00000611,0.00000291,0.00001736,3.8864392902195473,1.2942577172364538,-0.0000001565463375,0.000000057741309,Bet,7,UMi,1,72380,,208.54510476931685,,,
111768,112122,214952,8636,,Bet Gru,Tiaki,22.711115,-46.884577,54.2594,135.68,-4.51,2.0,2.07,-1.602,M5III,1.61,34.993484,-12.277259,-39.608199,0.00001232,0.0000335,-0.0000023,5.945755997708016,-0.8182902343195899,0.0000006577952018,-0.000000021865096,Bet,,Gru,1,111768,,380.89037649813514,,2.191,1.971
85769,86032,159561,6556,Gl 681,55Alp Oph,Rasalhague,17.582241,12.560035,14.8965,110.08,-222.61,12.6,2.08,1.215,A5III,0.155,-1.587067,-14.453242,3.239454,0.00000615,-0.00001685,-0.00001289,4.603020022725371,0.2192139606173275,0.0000005336828996,-0.000001079243734,Alp,55,Oph,1,85769,,28.444611074479155,,,
14540,14576,19356,936,,26Bet Per,Algol,3.136148,40.955648,27.571,2.39,-1.44,4.0,2.09,-0.112,B8V,-0.003,14.189428,15.238793,18.072114,0.00000196,0.00000257,0.00000254,0.821041501386661,0.7148108979134763,0.000000011587047,-0.000000006981317,Bet,26,Per,1,14540,,96.56060985415496,Bet,2.213,2.073
9618,9640,12533,603,,57Gam1And,Almach,2.064984,42.329725,120.4819,43.08,-50.85,-12.0,2.1,-3.305,B8V,1.37,76.368059,45.840864,81.131974,-0.00000358,0.0000272,-0.00003022,0.5406116765051688,0.738793066882135,0.0000002088577336,-0.000000246527756,Gam-1,57,And,1,9618,,1828.1002161427427,,,
57459,57632,102647,4534,Gl 448,94Bet Leo,Denebola,11.817663,14.57206,10.9999,-499.02,-113.78,-0.2,2.14,1.933,A3Vvar,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093856965974249,0.2543304303162062,-0.0000024193172287,-0.000000551621005,Bet,94,Leo,1,57459,,14.682499678319866,,,
4417,4427,5394,264,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7.0,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.0000201,-0.00000777,0.2474379511037043,1.0597070289510324,0.0000001243547091,-0.000000018519882,Gam,27,Cas,1,4417,,3407.218616593573,Gam,2.173,2.133
39318,39429,66811,3165,,Zet Pup,Naos,8.059737,-40.003148,332.2259,-30.82,16.77,-24.0,2.21,-5.397,O5IAf,-0.269,-130.674899,218.376203,-213.564535,0.00004333,0.00002425,0.00003647,2.110034132578707,-0.6981866375965275,-0.0000001494195763,0.000000081303254,Zet,,Pup,1,39318,,12554.51673687138,Zet,2.224,2.194
45425,45556,80404,3699,,Iot Car,Aspidiske,9.284838,-59.275229,234.7418,-19.03,13.11,13.0,2.21,-4.643,A8Ib,0.189,-90.887872,78.251756,-201.791538,-0.00000074,0.00002921,-0.00000381,2.43076493672462,-1.0345479138581113,-0.0000000922600434,0.000000063559073,Iot,,Car,1,45425,,6269.024974761646,,,
76035,76267,139006,5793,,5Alp CrB,Alphecca,15.578128,26.714693,23.0097,120.38,-89.44,2.0,2.22,0.41,A0V,0.032,-12.176093,-16.558746,10.343974,0.00000708,-0.00001304,-0.00000799,4.0783442886637005,0.46625935084814374,0.0000005836187087,-0.000000433617355,Alp,5,CrB,1,76035,,59.70352865838366,Alp,2.289,2.209
44689,44816,78647,3634,,Lam Vel,Suhail,9.133268,-43.432589,166.9449,-23.21,14.28,18.0,2.23,-3.883,K4Ib-II,1.665,-88.662596,82.682121,-114.774841,-0.00000278,0.00002827,-0.00000426,2.3910838764040165,-0.7580416852253112,-0.0000001125252553,0.000000069231393,Lam,,Vel,1,44689,,3113.149665447025,Lam,2.272,2.182
65173,65378,116656,5054,GJ 3783A,79Zet UMa,Mizar,13.398747,54.925362,26.3089,121.23,-22.01,-5.6,2.23,0.129,A2V,0.057,-14.115808,-5.413302,21.531272,0.00000646,-0.00001408,-0.0000063,3.507783854721718,0.9586284043094538,0.0000005877396249,-0.000000106707491,Zet,79,UMa,1,65173,GJ 3783,77.33925780489973,,2.336,2.196
100128,100453,194093,7796,,37Gam Cyg,Sadr,20.370473,40.256679,561.7978,2.43,-0.93,-8.0,2.23,-6.518,F8Ib,0.673,249.318228,-348.795593,363.040966,0.0000027,0.0000076,-0.00000722,5.332977255083509,0.7026115975482887,0.0000000117809724,-0.000000004508767,Gam,37,Cyg,1,100128,,35253.318119588555,,,
3172,3179,3712,168,,18Alp Cas,Schedar,0.675116,56.537331,69.979,50.36,-32.17,-4.0,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,0.00000374,0.00001802,-0.00000943,0.17674488133148336,0.9867625763100912,0.0000002441521695,-0.000000155964561,Alp,18,Cas,1,3172,,542.0008904016238,Alp,2.25,2.23
87561,87833,164058,6705,,33Gam Dra,Eltanin,17.943437,51.488895,47.3037,-8.52,-23.05,-28.0,2.24,-1.134,K5III,1.521,-0.436154,-29.451035,37.014357,-0.00000175,0.00001372,-0.0000257,4.697580791571401,0.8986507441914112,-0.0000000413061256,-0.000000111749553,Gam,33,Dra,1,87561,,247.5141318074314,,,
25865,25930,36486,1852,,34Del Ori,Mintaka,5.533445,-0.299092,212.3142,1.67,0.56,16.0,2.25,-4.385,O9.5II,-0.175,25.868117,210.729667,-1.108306,0.00000029,0.00001645,0.00000049,1.4486524168433992,-0.005220140244135,0.0000000080963885,0.000000002714956,Del,34,Ori,1,25865,,4943.106869868354,Del,2.334,2.234
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025852830323276,1.0323584043676326,0.0000025374663227,-0.000000874700842,Bet,11,Cas,1,744,,30.06076302628229,Bet,2.303,2.263
78165,78401,143275,5953,,7Del Sco,Dschubba,16.005557,-22.62171,150.6024,-8.67,-36.9,-7.0,2.29,-3.599,B0.2IV,-0.117,-69.332609,-120.492107,-57.928452,0.00000298,0.00001787,-0.00002211,4.190245125208222,-0.39482331934217,-0.0000000420333461,-0.000000178896248,Del,7,Sco,1,78165,,2396.624529408638,Del,2.299,2.279
82144,82396,151680,6241,,26Eps Sco,Larawag,16.83608,-34.293232,19.5351,-611.83,-255.87,-3.0,2.29,0.836,K2IIIb,1.144,-4.842163,-15.39568,-11.006616,-0.00005042,0.00003282,-0.00001829,4.407675434439009,-0.598529803311685,-0.0000029662355417,-0.000001240492764,Eps,26,Sco,1,82144,,40.3273792976113,,,
53754,53910,95418,4295,GJ 9343,48Bet UMa,Merak,11.030677,56.382427,24.4499,81.66,33.74,-12.0,2.34,0.399,A1V,0.033,-13.103033,3.398358,20.360601,0.00000737,-0.00001191,-0.00000801,2.887824569114951,0.9840589862911813,0.0000003958988515,0.000000163576135,Bet,48,UMa,1,53754,,60.311481961781745,,,
71879,72105,129988,5505,,36Eps Boo,Izar,14.749784,27.074222,62.1118,-50.65,20.0,-23.0,2.35,-1.616,A0,0.966,-41.582771,-36.462926,28.269741,0.00000775,0.00002708,-0.00000534,3.8614843383663695,0.47253432342394,-0.0000002455581292,0.000000096962736,Eps,36,Boo,1,71879,,385.83355990535125,,,
106972,107315,206778,8308,,8Eps Peg,Enif,21.736433,9.875011,211.4165,30.02,1.38,5.0,2.38,-4.246,K2Ibvar,1.52,172.769915,-116.330918,36.25782,0.00002116,0.00002284,0.00000227,5.690584775484336,0.17235145954124498,0.0000001455410669,0.000000006690428,Eps,8,Peg,1,106972,,4349.106072324538,Eps,2.404,2.364
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75.0,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,0.00002323,0.00003218,-0.00008456,0.11468290295782503,-0.7383786688321162,0.0000011284523229,-0.000001714495099,Alp,,Phe,1,2076,,64.44659847416881,,,
